Date,Start Time,End Time,Journey.Action,Charge,Credit,Balance,Note
14-Feb-2016,13:39,13:50,"Canary Wharf DLR to Devons Road DLR",.00,,26.80,""
14-Feb-2016,11:14,11:25,"Devons Road DLR to Canary Wharf DLR",.00,,26.80,""
13-Feb-2016,18:39,19:21,"South Kensington to Devons Road DLR",.00,,26.80,""
13-Feb-2016,08:49,09:31,"Devons Road DLR to South Kensington",.00,,26.80,""
12-Feb-2016,15:02,15:10,"Mile End to Bromley by Bow",.00,,26.80,""
12-Feb-2016,11:14,,"Bus journey, route 323",.00,,26.80,""
11-Feb-2016,20:59,21:26,"Moorgate to Bromley by Bow",.00,,26.80,""
11-Feb-2016,18:05,18:27,"Victoria [London Underground] to Old Street",.00,,26.80,""
11-Feb-2016,17:25,17:32,"South Kensington to Victoria [London Underground]",.00,,26.80,""
11-Feb-2016,07:26,08:04,"Bromley by Bow to South Kensington",.00,,26.80,""
10-Feb-2016,16:47,17:36,"South Kensington to Bromley by Bow",.00,,26.80,""
10-Feb-2016,07:12,07:48,"Bromley by Bow to South Kensington",.00,,26.80,""
09-Feb-2016,18:04,18:44,"South Kensington to Bromley by Bow",.00,,26.80,""
09-Feb-2016,07:16,07:53,"Bromley by Bow to South Kensington",.00,,26.80,""
07-Feb-2016,15:18,15:30,"Canary Wharf DLR to Devons Road DLR",.00,,26.80,""
07-Feb-2016,12:14,12:27,"Devons Road DLR to Canary Wharf DLR",.00,,26.80,""
06-Feb-2016,17:52,18:19,"Embankment to Bromley by Bow",.00,,26.80,""
06-Feb-2016,16:48,16:59,"South Kensington to Embankment",.00,,26.80,""
06-Feb-2016,12:05,12:44,"Bromley by Bow to South Kensington",.00,,26.80,""
05-Feb-2016,18:15,18:49,"Victoria [London Underground] to Bromley by Bow",.00,,26.80,""
05-Feb-2016,16:58,17:05,"Embankment to Victoria [London Underground]",.00,,26.80,""
05-Feb-2016,14:42,15:07,"Bromley by Bow to Embankment",.00,,26.80,""
05-Feb-2016,12:25,12:47,"London Bridge [London Underground] to Bromley by Bow",.00,,26.80,""
05-Feb-2016,09:47,10:11,"Bromley by Bow to London Bridge [London Underground]",.00,,26.80,""
04-Feb-2016,21:34,21:40,"Bow Road to Bromley by Bow",.00,,26.80,""
04-Feb-2016,21:06,21:11,"Bromley by Bow to Bow Road",.00,,26.80,""
04-Feb-2016,17:30,18:15,"South Kensington to Bromley by Bow",.00,,26.80,""
04-Feb-2016,07:24,08:03,"Bromley by Bow to South Kensington",.00,,26.80,""
02-Feb-2016,17:59,18:43,"South Kensington to Bromley by Bow",.00,,26.80,""
02-Feb-2016,07:28,08:06,"Bromley by Bow to South Kensington",.00,,26.80,""
01-Feb-2016,17:28,18:16,"South Kensington to Bromley by Bow",.00,,26.80,""
01-Feb-2016,06:40,07:22,"Bromley by Bow to South Kensington",.00,,26.80,""
30-Jan-2016,18:18,18:54,"South Kensington to Bromley by Bow",.00,,26.80,""
30-Jan-2016,08:30,09:07,"Bromley by Bow to South Kensington",.00,,26.80,""
28-Jan-2016,17:34,18:15,"South Kensington to Bromley by Bow",.00,,26.80,""
28-Jan-2016,07:18,08:05,"Bromley by Bow to South Kensington",.00,,26.80,""
26-Jan-2016,17:13,17:52,"South Kensington to Bromley by Bow",.00,,26.80,""
26-Jan-2016,07:16,07:59,"Bromley by Bow to South Kensington",.00,,26.80,""
25-Jan-2016,20:25,20:52,"Embankment to Bromley by Bow",.00,,26.80,""
25-Jan-2016,17:47,17:59,"South Kensington to Embankment",.00,,26.80,""
25-Jan-2016,06:41,07:15,"Bromley by Bow to South Kensington",.00,,26.80,""
24-Jan-2016,16:40,16:50,"West India Quay DLR to Devons Road DLR",.00,,26.80,""
24-Jan-2016,13:08,13:20,"Devons Road DLR to Canary Wharf DLR",.00,,26.80,""
23-Jan-2016,21:25,22:00,"South Kensington to Bromley by Bow",.00,,26.80,""
23-Jan-2016,08:21,08:57,"Bromley by Bow to South Kensington",.00,,26.80,""
22-Jan-2016,13:32,13:45,"East Ham to Bromley by Bow",1.50,,26.80,""
22-Jan-2016,11:39,11:49,"Bromley by Bow to East Ham",1.50,,28.30,"You have been charged for travelling in zones not covered by your Travelcard."
21-Jan-2016,17:15,17:52,"South Kensington to Bromley by Bow",.00,,29.80,""
21-Jan-2016,07:17,07:53,"Bromley by Bow to South Kensington",.00,,29.80,""
20-Jan-2016,20:15,20:44,"Kings Cross (Piccadilly, Victoria lines) to Bromley by Bow",.00,,29.80,""
20-Jan-2016,17:27,17:50,"South Kensington to Kings Cross [London Underground / National Rail]",.00,,29.80,""
20-Jan-2016,06:52,07:28,"Bromley by Bow to South Kensington",.00,,29.80,""
19-Jan-2016,17:02,17:41,"South Kensington to Bromley by Bow",.00,,29.80,""
19-Jan-2016,07:17,08:01,"Bromley by Bow to South Kensington",.00,,29.80,""
18-Jan-2016,17:33,18:10,"South Kensington to Bromley by Bow",.00,,29.80,""
18-Jan-2016,06:31,07:07,"Bromley by Bow to South Kensington",.00,,29.80,""
17-Jan-2016,19:18,19:30,"Canary Wharf DLR to Devons Road DLR",.00,,29.80,""
17-Jan-2016,12:51,13:05,"Devons Road DLR to Canary Wharf DLR",.00,,29.80,""
16-Jan-2016,17:50,18:29,"South Kensington to Bromley by Bow",.00,,29.80,""
16-Jan-2016,08:37,09:12,"Bromley by Bow to South Kensington",.00,,29.80,""
15-Jan-2016,17:08,17:49,"South Kensington to Bromley by Bow",.00,,29.80,""
15-Jan-2016,07:13,07:48,"Bromley by Bow to South Kensington",.00,,29.80,""
14-Jan-2016,17:11,17:53,"South Kensington to Bromley by Bow",.00,,29.80,""
14-Jan-2016,07:18,08:06,"Bromley by Bow to South Kensington",.00,,29.80,""
13-Jan-2016,17:17,18:00,"South Kensington to Bromley by Bow",.00,,29.80,""
13-Jan-2016,07:11,07:51,"Bromley by Bow to South Kensington",.00,,29.80,""
12-Jan-2016,18:54,19:23,"London Bridge [London Underground] to Bromley by Bow",.00,,29.80,""
12-Jan-2016,15:39,16:07,"Bromley by Bow to London Bridge [London Underground]",.00,,29.80,""
10-Jan-2016,22:02,22:31,"Elephant & Castle [London Underground] to Bromley by Bow",.00,,29.80,""
10-Jan-2016,18:32,19:03,"Bromley by Bow to Elephant & Castle [London Underground]",.00,,29.80,""
09-Jan-2016,17:22,17:30,"West India Quay DLR to Devons Road DLR",.00,,29.80,""
09-Jan-2016,11:23,11:35,"Devons Road DLR to Canary Wharf DLR",.00,,29.80,""
08-Jan-2016,19:39,20:00,"Kings Cross (Met, Circle, H&C lines) to Bromley by Bow",.00,,29.80,""
08-Jan-2016,15:36,16:11,"Bromley by Bow to Kings Cross (Met, Circle, H&C lines)",.00,,29.80,""
07-Jan-2016,16:17,16:22,"Mile End to Bromley by Bow",.00,,29.80,""
07-Jan-2016,13:58,14:03,"Bromley by Bow to Mile End",.00,,29.80,""
07-Jan-2016,12:27,12:33,"Mile End to Bromley by Bow",.00,,29.80,""
07-Jan-2016,11:13,11:22,"Bromley by Bow to Stepney Green",.00,,29.80,""
07-Jan-2016,11:13,,"Auto top-up, Bromley by Bow",,20.00,29.80,""
05-Jan-2016,17:06,17:34,"London City Airport DLR to Devons Road DLR",1.70,,9.80,"You have been charged for travelling in zones not covered by your Travelcard."
